ZVG-Nr.;CAS-Nr.;"verwandte
CAS-Nr.";INDEX-Nr.;EG-Nr.;"verwandte
EG-Nr.";Name;Formel;"Molmasse
[g/mol]";Linksyntax;Hyperlink
1180;7727-21-1;;016-061-00-1;231-781-8;;Kaliumperoxodisulfat;"K2S2O8
K2O8S2";270,32;https://gestis.dguv.de/data?name=001180;https://gestis.dguv.de/data?name=001180
1190;1345-25-1;;;215-721-8;;Eisen(II)-oxid;FeO;71,85;https://gestis.dguv.de/data?name=001190;https://gestis.dguv.de/data?name=001190
1200;1305-78-8;;;215-138-9;;Calciumoxid;CaO;56,08;https://gestis.dguv.de/data?name=001200;https://gestis.dguv.de/data?name=001200
1210;1309-48-4;;;215-171-9;;Magnesiumoxid;MgO;40,30;https://gestis.dguv.de/data?name=001210;https://gestis.dguv.de/data?name=001210
1220;1313-60-6;;011-003-00-1;215-209-4;;Natriumperoxid;Na2O2;77,98;https://gestis.dguv.de/data?name=001220;https://gestis.dguv.de/data?name=001220
1230;1313-99-1;"11099-02-8
34492-97-2";028-003-00-2;215-215-7;234-323-5;Nickeloxid;NiO;74,69;https://gestis.dguv.de/data?name=001230;https://gestis.dguv.de/data?name=001230
1240;1314-41-6;;082-001-00-6;215-235-6;;Blei(II,IV)-oxid;"Pb3O4
O4Pb3";685,59;https://gestis.dguv.de/data?name=001240;https://gestis.dguv.de/data?name=001240
1250;1314-62-1;;023-001-00-8;215-239-8;;Vanadium(V)-oxid;"V2O5
O5V2";181,88;https://gestis.dguv.de/data?name=001250;https://gestis.dguv.de/data?name=001250
1270;1310-73-2;;011-002-00-6;215-185-5;;Natriumhydroxid;"NaOH
HNaO";40,00;https://gestis.dguv.de/data?name=001270;https://gestis.dguv.de/data?name=001270
1280;1344-28-1;1302-74-5;;215-691-6;;Aluminiumoxid;Al2O3;101,96;https://gestis.dguv.de/data?name=001280;https://gestis.dguv.de/data?name=001280
1290;7631-86-9;"112926-00-8
63231-67-4";;231-545-4;;Siliciumdioxid, kolloidal;SiO2;60,08;https://gestis.dguv.de/data?name=001290;https://gestis.dguv.de/data?name=001290
1300;20344-49-4;51274-00-1;;243-746-4;257-098-5;Eisen(III)-oxidhydrat;"FeO(OH)
HFeO2";88,86;https://gestis.dguv.de/data?name=001300;https://gestis.dguv.de/data?name=001300
1310;7719-09-7;;016-015-00-0;231-748-8;;Thionylchlorid;"SOCl2
Cl2OS";118,97;https://gestis.dguv.de/data?name=001310;https://gestis.dguv.de/data?name=001310
1320;16721-80-5;207683-19-0;;240-778-0;;Natriumhydrogensulfid;"NaSH
HNaS";56,06;https://gestis.dguv.de/data?name=001320;https://gestis.dguv.de/data?name=001320
1330;7647-14-5;;;231-598-3;;Natriumchlorid;"NaCl
ClNa";58,44;https://gestis.dguv.de/data?name=001330;https://gestis.dguv.de/data?name=001330
1340;75-44-5;;006-002-00-8;200-870-3;;Phosgen;"COCl2
CCl2O";98,92;https://gestis.dguv.de/data?name=001340;https://gestis.dguv.de/data?name=001340
1350;7791-25-5;;016-016-00-6;232-245-6;;Sulfurylchlorid;"SO2Cl2
Cl2O2S";134,97;https://gestis.dguv.de/data?name=001350;https://gestis.dguv.de/data?name=001350
1360;7631-90-5;;016-064-00-8;231-548-0;;Natriumhydrogensulfit, wässrige Lösung;"NaHSO3
HNaO3S";104,06;https://gestis.dguv.de/data?name=001360;https://gestis.dguv.de/data?name=001360
1370;7697-37-2;;007-004-00-1;231-714-2;;Salpetersäure;HNO3;63,01;https://gestis.dguv.de/data?name=001370;https://gestis.dguv.de/data?name=001370
1380;7632-00-0;;007-010-00-4;231-555-9;;Natriumnitrit;"NaNO2
NNaO2";69,00;https://gestis.dguv.de/data?name=001380;https://gestis.dguv.de/data?name=001380
1390;1313-82-2;"1313-83-3
1313-84-4
27610-45-3";016-009-00-8;215-211-5;;Natriumsulfid;Na2S;78,04;https://gestis.dguv.de/data?name=001390;https://gestis.dguv.de/data?name=001390
1400;7757-82-6;7727-73-3;;231-820-9;;Natriumsulfat;"Na2SO4
Na2O4S";142,04;https://gestis.dguv.de/data?name=001400;https://gestis.dguv.de/data?name=001400
1410;7681-52-9;"55248-17-4
64131-03-9";017-011-00-1;231-668-3;;Natriumhypochlorit, wässrige Lösung mit Anteilen an aktivem Chlor;"NaOCl
ClNaO";74,44;https://gestis.dguv.de/data?name=001410;https://gestis.dguv.de/data?name=001410
1420;1310-58-3;26288-25-5;019-002-00-8;215-181-3;;Kaliumhydroxid;"KOH
HKO";56,11;https://gestis.dguv.de/data?name=001420;https://gestis.dguv.de/data?name=001420
1430;75-15-0;;006-003-00-3;200-843-6;;Kohlendisulfid;CS2;76,14;https://gestis.dguv.de/data?name=001430;https://gestis.dguv.de/data?name=001430
1440;7733-02-0;"7446-19-7
13986-24-8
7446-20-0";030-006-00-9;231-793-3;;Zinksulfat;"ZnSO4
O4SZn";161,43;https://gestis.dguv.de/data?name=001440;https://gestis.dguv.de/data?name=001440
1450;7646-85-7;;030-003-00-2;231-592-0;;Zinkchlorid;"ZnCl2
Cl2Zn";136,30;https://gestis.dguv.de/data?name=001450;https://gestis.dguv.de/data?name=001450
1460;12125-02-9;;017-014-00-8;235-186-4;;Ammoniumchlorid;"NH4Cl
H4ClN";53,49;https://gestis.dguv.de/data?name=001460;https://gestis.dguv.de/data?name=001460
1470;7783-20-2;;;231-984-1;;Ammoniumsulfat;"(NH4)2SO4
H8N2O4S";132,14;https://gestis.dguv.de/data?name=001470;https://gestis.dguv.de/data?name=001470
1480;56-23-5;;602-008-00-5;200-262-8;;Tetrachlormethan;CCl4;153,82;https://gestis.dguv.de/data?name=001480;https://gestis.dguv.de/data?name=001480
1490;7758-94-3;13478-10-9;;231-843-4;;Eisen(II)-chlorid;"FeCl2
Cl2Fe";126,75;https://gestis.dguv.de/data?name=001490;https://gestis.dguv.de/data?name=001490
1500;7705-08-0;10025-77-1;;231-729-4;;Eisen(III)-chlorid;"FeCl3
Cl3Fe";162,21;https://gestis.dguv.de/data?name=001500;https://gestis.dguv.de/data?name=001500
1510;3982-91-0;;;223-622-6;;Thiophosphoryltrichlorid;"PSCl3
Cl3PS";169,40;https://gestis.dguv.de/data?name=001510;https://gestis.dguv.de/data?name=001510
1520;1314-80-3;;015-104-00-1;215-242-4;;Diphosphorpentasulfid;P2S5;222,28;https://gestis.dguv.de/data?name=001520;https://gestis.dguv.de/data?name=001520
1530;1344-43-0;;;215-695-8;;Mangan(II)-oxid;MnO;70,94;https://gestis.dguv.de/data?name=001530;https://gestis.dguv.de/data?name=001530
1540;7722-88-5;13472-36-1;;231-767-1;;Natriumpyrophosphat;"Na4P2O7
Na4O7P2";265,90;https://gestis.dguv.de/data?name=001540;https://gestis.dguv.de/data?name=001540
1550;7705-07-9;;;231-728-9;;Titan(III)-chlorid;"TiCl3
Cl3Ti";154,26;https://gestis.dguv.de/data?name=001550;https://gestis.dguv.de/data?name=001550
1560;10025-67-9;;016-012-00-4;233-036-2;;Dischwefeldichlorid;"S2Cl2
Cl2S2";135,04;https://gestis.dguv.de/data?name=001560;https://gestis.dguv.de/data?name=001560
1570;14807-96-6;;;238-877-9;;Talk, asbestfrei;"Mg3Si4O10(OH)2
H2Mg3O12Si4";379,26;https://gestis.dguv.de/data?name=001570;https://gestis.dguv.de/data?name=001570
1580;7778-80-5;;;231-915-5;;Kaliumsulfat;"K2SO4
K2O4S";174,26;https://gestis.dguv.de/data?name=001580;https://gestis.dguv.de/data?name=001580
1600;1332-65-6;1332-40-7;029-017-00-1;215-572-9;;Kupfer(II)-trihydroxidchlorid;"H3ClCu2O3
Cu2Cl(OH)3
oder / or 
H6Cu4Cl2O6 
CuCl2 * 3Cu(OH)2";213,56;https://gestis.dguv.de/data?name=001600;https://gestis.dguv.de/data?name=001600
1620;12136-45-7;;;235-227-6;;Kaliumoxid;K2O;94,20;https://gestis.dguv.de/data?name=001620;https://gestis.dguv.de/data?name=001620
1630;7758-19-2;;;231-836-6;;Natriumchlorit;"NaClO2
ClNaO2";90,44;https://gestis.dguv.de/data?name=001630;https://gestis.dguv.de/data?name=001630
1640;10049-04-4;;017-026-00-3;233-162-8;;Chlordioxid;ClO2;67,45;https://gestis.dguv.de/data?name=001640;https://gestis.dguv.de/data?name=001640
1650;471-34-1;;;207-439-9;;Calciumcarbonat;"CaCO3
CCaO3";100,09;https://gestis.dguv.de/data?name=001650;https://gestis.dguv.de/data?name=001650
1660;7558-79-4;"10028-24-7
7782-85-6
10039-32-4";;231-448-7;;Dinatriumhydrogenphosphat;"Na2HPO4
HNa2O4P";141,96;https://gestis.dguv.de/data?name=001660;https://gestis.dguv.de/data?name=001660
1670;7558-80-7;"10049-21-5
13472-35-0";;231-449-2;;Natriumdihydrogenphosphat;"NaH2PO4
H2NaO4P";119,98;https://gestis.dguv.de/data?name=001670;https://gestis.dguv.de/data?name=001670
1680;7681-57-4;;016-063-00-2;231-673-0;;Natriumdisulfit;"Na2S2O5
Na2O5S2";190,11;https://gestis.dguv.de/data?name=001680;https://gestis.dguv.de/data?name=001680
1690;513-77-9;;056-003-00-2;208-167-3;;Bariumcarbonat;"BaCO3
CBaO3";197,34;https://gestis.dguv.de/data?name=001690;https://gestis.dguv.de/data?name=001690
1710;7727-43-7;;;231-784-4;;Bariumsulfat;"BaSO4
BaO4S";233,39;https://gestis.dguv.de/data?name=001710;https://gestis.dguv.de/data?name=001710
1720;1309-42-8;;;215-170-3;;Magnesiumhydroxid;"Mg(OH)2
H2MgO2";58,33;https://gestis.dguv.de/data?name=001720;https://gestis.dguv.de/data?name=001720
1750;1336-21-6;;007-001-01-2;215-647-6;;Ammoniak, wässrige Lösung;"NH4OH
H5NO";35,1;https://gestis.dguv.de/data?name=001750;https://gestis.dguv.de/data?name=001750
1760;7758-98-7;"10257-54-2
7758-99-8";029-004-00-0;231-847-6;;Kupfer(II)-sulfat;"CuSO4
CuO4S";159,61;https://gestis.dguv.de/data?name=001760;https://gestis.dguv.de/data?name=001760
1780;13463-67-7;;;236-675-5;;Titan(IV)-oxid;"TiO2
O2Ti";79,88;https://gestis.dguv.de/data?name=001780;https://gestis.dguv.de/data?name=001780
1781;13463-67-7;;022-006-00-2;236-675-5;;"Titandioxid
in Pulverform mit mindestens 1 % Partikel mit aerodynamischem Durchmesser ≤ 10 μm";"TiO2
O2Ti";79,88;https://gestis.dguv.de/data?name=001781;https://gestis.dguv.de/data?name=001781
1790;7446-26-6;;;231-203-4;;Zinkpyrophosphat;"Zn2P2O7
O7P2Zn2";304,72;https://gestis.dguv.de/data?name=001790;https://gestis.dguv.de/data?name=001790
1800;7664-38-2;;015-011-00-6;231-633-2;;Phosphorsäure;"H3PO4
H3O4P";98,00;https://gestis.dguv.de/data?name=001800;https://gestis.dguv.de/data?name=001800
1810;7631-99-4;;;231-554-3;;Natriumnitrat;"NaNO3
NNaO3";84,99;https://gestis.dguv.de/data?name=001810;https://gestis.dguv.de/data?name=001810
1820;1330-43-4;"12179-04-3
1303-96-4";005-011-00-4;215-540-4;;Natriumtetraborat;"Na2B4O7
B4Na2O7";201,22;https://gestis.dguv.de/data?name=001820;https://gestis.dguv.de/data?name=001820
1830;1303-86-2;;005-008-00-8;215-125-8;;Dibortrioxid;B2O3;69,62;https://gestis.dguv.de/data?name=001830;https://gestis.dguv.de/data?name=001830
1840;10124-43-3;10026-24-1;027-005-00-0;233-334-2;;Cobalt(II)-sulfat;"CoSO4
CoO4S";154,99;https://gestis.dguv.de/data?name=001840;https://gestis.dguv.de/data?name=001840
1850;1314-56-3;;015-010-00-0;215-236-1;;Phosphorpentoxid;"P2O5
P4O10
O5P2";141,94;https://gestis.dguv.de/data?name=001850;https://gestis.dguv.de/data?name=001850
1860;1309-37-1;;;215-168-2;;Eisen(III)-oxid;Fe2O3;159,7;https://gestis.dguv.de/data?name=001860;https://gestis.dguv.de/data?name=001860
1870;1309-36-0;;;215-167-7;;Eisendisulfid;FeS2;119,98;https://gestis.dguv.de/data?name=001870;https://gestis.dguv.de/data?name=001870
1880;10031-22-8;;082-001-00-6;233-084-4;;Blei(II)-bromid;"PbBr2
Br2Pb";367,01;https://gestis.dguv.de/data?name=001880;https://gestis.dguv.de/data?name=001880
1890;7601-54-9;"15819-50-8
10101-89-0";;231-509-8;;Trinatriumphosphat;"Na3PO4
Na3O4P";163,49;https://gestis.dguv.de/data?name=001890;https://gestis.dguv.de/data?name=001890
1900;15096-52-3;13775-53-6;009-016-00-2;239-148-8;237-410-6;Natriumhexafluoroaluminat;"Na3AlF6
AlF6Na3";209,94;https://gestis.dguv.de/data?name=001900;https://gestis.dguv.de/data?name=001900
1910;10043-52-4;"10035-04-8
25094-02-4
7774-34-7";017-013-00-2;233-140-8;;Calciumchlorid;CaCl2;110,98;https://gestis.dguv.de/data?name=001910;https://gestis.dguv.de/data?name=001910
1930;7681-49-4;;009-004-00-7;231-667-8;;Natriumfluorid;"NaF
FNa";41,99;https://gestis.dguv.de/data?name=001930;https://gestis.dguv.de/data?name=001930
1940;12336-95-7;;;235-595-8;;Chrom(III)-hydroxidsulfat;"Cr(OH)(SO4)
HCrO5S";164,01;https://gestis.dguv.de/data?name=001940;https://gestis.dguv.de/data?name=001940
1950;10544-72-6;;007-002-00-0;234-126-4;;Distickstofftetroxid;N2O4;92,02;https://gestis.dguv.de/data?name=001950;https://gestis.dguv.de/data?name=001950
1960;10361-37-2;10326-27-9;056-004-00-8;233-788-1;;Bariumchlorid;BaCl2;208,25;https://gestis.dguv.de/data?name=001960;https://gestis.dguv.de/data?name=001960
1970;151-50-8;;006-007-00-5;205-792-3;;Kaliumcyanid;"KCN
CKN";65,12;https://gestis.dguv.de/data?name=001970;https://gestis.dguv.de/data?name=001970
1980;75-20-7;;006-004-00-9;200-848-3;;Calciumcarbid;"CaC2
C2Ca";64,10;https://gestis.dguv.de/data?name=001980;https://gestis.dguv.de/data?name=001980
1990;1317-38-0;;029-016-00-6;215-269-1;;Kupfer(II)-oxid;CuO;79,55;https://gestis.dguv.de/data?name=001990;https://gestis.dguv.de/data?name=001990
2000;60676-86-0;;;262-373-8;;Kieselglas;"SiO2
O2Si";60,08;https://gestis.dguv.de/data?name=002000;https://gestis.dguv.de/data?name=002000
2010;302-01-2;"10217-52-4
7803-57-8";007-008-00-3;206-114-9;;Hydrazin;"N2H4
H4N2";32,05;https://gestis.dguv.de/data?name=002010;https://gestis.dguv.de/data?name=002010
2020;1304-76-3;;;215-134-7;;Bismut(III)-oxid;Bi2O3;465,96;https://gestis.dguv.de/data?name=002020;https://gestis.dguv.de/data?name=002020
2030;1313-27-5;;042-001-00-9;215-204-7;;Molybdän(VI)-oxid;MoO3;143,94;https://gestis.dguv.de/data?name=002030;https://gestis.dguv.de/data?name=002030
2060;3811-04-9;;017-004-00-3;223-289-7;;Kaliumchlorat;"KClO3
ClKO3";122,55;https://gestis.dguv.de/data?name=002060;https://gestis.dguv.de/data?name=002060
2070;584-08-7;6381-79-9;;209-529-3;;Kaliumcarbonat;"K2CO3
CK2O3";138,21;https://gestis.dguv.de/data?name=002070;https://gestis.dguv.de/data?name=002070
2080;298-14-6;;;206-059-0;;Kaliumhydrogencarbonat;"KHCO3
CHKO3";100,12;https://gestis.dguv.de/data?name=002080;https://gestis.dguv.de/data?name=002080
2090;1314-13-2;;030-013-00-7;215-222-5;;Zinkoxid;ZnO;81,39;https://gestis.dguv.de/data?name=002090;https://gestis.dguv.de/data?name=002090
2100;1327-53-3;;033-003-00-0;215-481-4;;Arsen(III)-oxid;As2O3;197,84;https://gestis.dguv.de/data?name=002100;https://gestis.dguv.de/data?name=002100
2110;7783-28-0;;;231-987-8;;Diammoniumhydrogenphosphat;"(NH4)2HPO4
H9N2O4P";132,05;https://gestis.dguv.de/data?name=002110;https://gestis.dguv.de/data?name=002110
2130;1308-38-9;;;215-160-9;;Chrom(III)-oxid;Cr2O3;151,99;https://gestis.dguv.de/data?name=002130;https://gestis.dguv.de/data?name=002130
2140;7758-97-6;;082-004-00-2;231-846-0;;Blei(II)-chromat;PbCrO4;323,2;https://gestis.dguv.de/data?name=002140;https://gestis.dguv.de/data?name=002140
2150;1306-23-6;;048-010-00-4;215-147-8;;Cadmiumsulfid;CdS;144,48;https://gestis.dguv.de/data?name=002150;https://gestis.dguv.de/data?name=002150
2160;13530-65-9;;024-007-00-3;236-878-9;;Zinkchromat;"ZnCrO4
CrO4Zn";181,38;https://gestis.dguv.de/data?name=002160;https://gestis.dguv.de/data?name=002160
2170;1315-04-4;;;215-255-5;;Antimon(V)-sulfid;"Sb2S5
S5Sb2";403,82;https://gestis.dguv.de/data?name=002170;https://gestis.dguv.de/data?name=002170
2190;1317-37-9;;;215-268-6;;Eisen(II)-sulfid;FeS;87,91;https://gestis.dguv.de/data?name=002190;https://gestis.dguv.de/data?name=002190
2200;7447-40-7;;;231-211-8;;Kaliumchlorid;"KCl
ClK";74,55;https://gestis.dguv.de/data?name=002200;https://gestis.dguv.de/data?name=002200
2220;13825-74-6;;;237-523-0;;Titanylsulfat;"TiO(SO4)
O5STi";159,93;https://gestis.dguv.de/data?name=002220;https://gestis.dguv.de/data?name=002220
2240;13464-80-7;;007-014-00-6;236-688-6;;Dihydraziniumsulfat;"(N2H5)2SO4
H10N4O4S";162,19;https://gestis.dguv.de/data?name=002240;https://gestis.dguv.de/data?name=002240
2250;1302-42-7;;;215-100-1;;Aluminiumnatriumdioxid;;;https://gestis.dguv.de/data?name=002250;https://gestis.dguv.de/data?name=002250
2260;10034-93-2;;007-014-00-6;233-110-4;;Hydraziniumsulfat;"(H6N2)SO4
H6N2O4S";130,12;https://gestis.dguv.de/data?name=002260;https://gestis.dguv.de/data?name=002260
2270;7550-45-0;;022-001-00-5;231-441-9;;Titan(IV)-chlorid;"TiCl4
Cl4Ti";189,69;https://gestis.dguv.de/data?name=002270;https://gestis.dguv.de/data?name=002270
2280;463-58-1;;;207-340-0;;Carbonylsulfid;COS;60,08;https://gestis.dguv.de/data?name=002280;https://gestis.dguv.de/data?name=002280
2290;7681-38-1;10034-88-5;016-046-00-X;231-665-7;;Natriumhydrogensulfat;"NaHSO4
HNaO4S";120,06;https://gestis.dguv.de/data?name=002290;https://gestis.dguv.de/data?name=002290
2300;1333-82-0;;024-001-00-0;215-607-8;;Chrom(VI)-oxid;CrO3;99,99;https://gestis.dguv.de/data?name=002300;https://gestis.dguv.de/data?name=002300
2310;7727-54-0;;016-060-00-6;231-786-5;;Ammoniumperoxodisulfat;"(NH4)2S2O8
H8N2O8S2";228,20;https://gestis.dguv.de/data?name=002310;https://gestis.dguv.de/data?name=002310
2320;10043-01-3;"17927-65-0
16828-11-8
7784-31-8";;233-135-0;;Aluminiumsulfat;"Al2(SO4)3
Al2O12S3";342,15;https://gestis.dguv.de/data?name=002320;https://gestis.dguv.de/data?name=002320
2330;7487-88-9;"14168-73-1
15320-30-6
15244-29-8
17830-17-0
17830-18-1
10034-99-8
22189-08-8";;231-298-2;;Magnesiumsulfat;"MgSO4
MgO4S";120,37;https://gestis.dguv.de/data?name=002330;https://gestis.dguv.de/data?name=002330
2350;6834-92-0;"10213-79-3
13517-24-3
1344-09-8";014-010-00-8;229-912-9;;Natriummetasilikat;"(Na2SiO3)n
(Na2O3Si)n";122,06;https://gestis.dguv.de/data?name=002350;https://gestis.dguv.de/data?name=002350
2360;1345-13-7;;;215-718-1;;Cer(III)-oxid;Ce2O3;328,24;https://gestis.dguv.de/data?name=002360;https://gestis.dguv.de/data?name=002360
2370;2696-92-6;;;220-273-1;;Nitrosylchlorid;"NOCl
ClNO";65,46;https://gestis.dguv.de/data?name=002370;https://gestis.dguv.de/data?name=002370
2380;3087-37-4;;;221-411-3;;Titantetrapropanolat;"Ti(C3H7O)4
C12H28O4Ti";284,25;https://gestis.dguv.de/data?name=002380;https://gestis.dguv.de/data?name=002380
2390;5593-70-4;;;227-006-8;;Titantetrabutanolat;"Ti(C4H9O)4
C16H36O4Ti";340,36;https://gestis.dguv.de/data?name=002390;https://gestis.dguv.de/data?name=002390
2400;10049-06-6;;;233-164-9;;Titan(II)-chlorid;"TiCl2
Cl2Ti";118,79;https://gestis.dguv.de/data?name=002400;https://gestis.dguv.de/data?name=002400
2420;143-33-9;;006-007-00-5;205-599-4;;Natriumcyanid;"NaCN
CNNa";49,01;https://gestis.dguv.de/data?name=002420;https://gestis.dguv.de/data?name=002420
2430;7722-84-1;;008-003-00-9;231-765-0;;Wasserstoffperoxid ab 60 %;H2O2;34,01;https://gestis.dguv.de/data?name=002430;https://gestis.dguv.de/data?name=002430
2440;144-55-8;;;205-633-8;;Natriumhydrogencarbonat;"NaHCO3
CHNaO3";84,01;https://gestis.dguv.de/data?name=002440;https://gestis.dguv.de/data?name=002440
2460;7790-94-5;;016-017-00-1;232-234-6;;Chlorschwefelsäure;"HSO3Cl
HClO3S";116,53;https://gestis.dguv.de/data?name=002460;https://gestis.dguv.de/data?name=002460
2470;7447-39-4;10125-13-0;;231-210-2;;Kupfer(II)-chlorid;"CuCl2
Cl2Cu";134,45;https://gestis.dguv.de/data?name=002470;https://gestis.dguv.de/data?name=002470
2480;7772-98-7;10102-17-7;;231-867-5;;Natriumthiosulfat;"Na2S2O3
Na2O3S2";158,11;https://gestis.dguv.de/data?name=002480;https://gestis.dguv.de/data?name=002480
2490;10588-01-9;7789-12-0;024-004-00-7;234-190-3;;Natriumdichromat;"Na2Cr2O7
Cr2Na2O7";261,97;https://gestis.dguv.de/data?name=002490;https://gestis.dguv.de/data?name=002490
2500;1306-24-7;;034-002-00-8;215-148-3;;Cadmiumselenid;CdSe;191,36;https://gestis.dguv.de/data?name=002500;https://gestis.dguv.de/data?name=002500
2510;10101-53-8;15244-38-9;;233-253-2;;Chrom(III)-sulfat;"Cr2(SO4)3
Cr2O12S3";392,16;https://gestis.dguv.de/data?name=002510;https://gestis.dguv.de/data?name=002510
2530;7719-12-2;;015-007-00-4;231-749-3;;Phosphortrichlorid;"PCl3
Cl3P";137,33;https://gestis.dguv.de/data?name=002530;https://gestis.dguv.de/data?name=002530
2550;12135-76-1;;;235-223-4;;Ammoniumsulfid, wässrige Lösung;"(NH4)2S
H8N2S";68,14;https://gestis.dguv.de/data?name=002550;https://gestis.dguv.de/data?name=002550
2560;141-53-7;;;205-488-0;;Natriumformiat;"NaHCO2
HCOONa
CHNaO2";68,01;https://gestis.dguv.de/data?name=002560;https://gestis.dguv.de/data?name=002560
2570;7647-10-1;;;231-596-2;;Palladium(II)-chlorid;"PdCl2
Cl2Pd";177,31;https://gestis.dguv.de/data?name=002570;https://gestis.dguv.de/data?name=002570
2590;7646-79-9;7791-13-1;027-004-00-5;231-589-4;;Cobalt(II)-chlorid;"CoCl2
Cl2Co";129,84;https://gestis.dguv.de/data?name=002590;https://gestis.dguv.de/data?name=002590
2600;13454-96-1;;;236-645-1;;Platin(IV)-chlorid;"PtCl4
Cl4Pt";336,89;https://gestis.dguv.de/data?name=002600;https://gestis.dguv.de/data?name=002600
2610;546-93-0;"5145-48-2
14457-83-1
61042-72-6";;208-915-9;;Magnesiumcarbonat;"MgCO3
CMgO3";84,31;https://gestis.dguv.de/data?name=002610;https://gestis.dguv.de/data?name=002610
2630;1318-02-1;;;215-283-8;;Zeolith;;;https://gestis.dguv.de/data?name=002630;https://gestis.dguv.de/data?name=002630
2640;7782-78-7;;;231-964-2;;Nitrosylschwefelsäure;"(NO)HSO4
HNO5S";127,08;https://gestis.dguv.de/data?name=002640;https://gestis.dguv.de/data?name=002640
2650;75-79-6;;014-004-00-5;200-902-6;;Methyltrichlorsilan;CH3Cl3Si;149,48;https://gestis.dguv.de/data?name=002650;https://gestis.dguv.de/data?name=002650
2670;75-77-4;;;200-900-5;;Trimethylchlorsilan;C3H9ClSi;108,64;https://gestis.dguv.de/data?name=002670;https://gestis.dguv.de/data?name=002670
2680;76-86-8;;;200-989-0;;Chlortriphenylsilan;C18H15ClSi;294,86;https://gestis.dguv.de/data?name=002680;https://gestis.dguv.de/data?name=002680
2690;2031-67-6;;;217-983-9;;Methyltriethoxysilan;C7H18O3Si;178,30;https://gestis.dguv.de/data?name=002690;https://gestis.dguv.de/data?name=002690
